# Copyright © 2026 立方田 <managecode@gmail.com>
# Project-maintained common phrases; weights are editorial priorities, not measured frequencies.
you ku	优酷	1500
jian ying	剪映	1500
mei tu xiu xiu	美图秀秀	1200
wang yi yun yin yue	网易云音乐	1500
ku gou yin yue	酷狗音乐	1200
ku wo yin yue	酷我音乐	1000
xi ma la ya	喜马拉雅	1200
qi shui yin yue	汽水音乐	1200
fan qie xiao shuo	番茄小说	1200
wei xin du shu	微信读书	1200
qi dian du shu	起点读书	1000
gao de di tu	高德地图	1500
bai du di tu	百度地图	1500
teng xun di tu	腾讯地图	1000
di di chu xing	滴滴出行	1500
ha luo chu xing	哈啰出行	1000
xie cheng	携程	1500
fei zhu	飞猪	1200
qu na er	去哪儿	1200
cai niao	菜鸟	1000
cai niao guo guo	菜鸟裹裹	1000
bai du wang pan	百度网盘	1500
a li yun pan	阿里云盘	1200
kua ke	夸克	1200
lei dian mo ni qi	雷电模拟器	1000
xiang ri kui yuan cheng kong zhi	向日葵远程控制	1000
wang yi you dao ci dian	网易有道词典	1000
jin shan ci ba	金山词霸	1000
dou bao	豆包	1200
teng xun yuan bao	腾讯元宝	1200
wen xin yi yan	文心一言	1200
tong yi qian wen	通义千问	1200
zhi pu qing yan	智谱清言	1000
# Everyday internet vocabulary; conservative weights, not measured usage counts.
nei juan	内卷	1200
tang ping	躺平	1200
po fang	破防	1000
gong qing	共情	1200
qing xu jia zhi	情绪价值	1200
song chi gan	松弛感	1000
bian jie gan	边界感	1000
yi shi gan	仪式感	1200
huo ren gan	活人感	800
da gong ren	打工人	1000
da zi	搭子	800
fan da zi	饭搭子	600
dian zi zha cai	电子榨菜	600
xian yan bao	显眼包	600
duo ba an	多巴胺	1000
lian ai nao	恋爱脑	800
she kong	社恐	800
she niu	社牛	800
zhen xiang	真香	800
shang tou	上头	800
xia tou	下头	600
zhong cao	种草	1000
ba cao	拔草	800
bi lei	避雷	800
ping ti	平替	800
xing jia bi	性价比	1500
zhi bo dai huo	直播带货	1200
duan shi pin	短视频	1500
zi mei ti	自媒体	1500
nei rong chuang zuo	内容创作	1200
er ci chuang zuo	二次创作	1000
er chuang	二创	800
dan mu	弹幕	1200
re sou	热搜	1200
chao hua	超话	800
hua ti biao qian	话题标签	1000
gong zhong hao	公众号	1500
xiao cheng xu	小程序	1500
shi pin hao	视频号	1200
peng you quan	朋友圈	1500
si xin	私信	1200
hu guan	互关	800
dian zan	点赞	1500
qu guan	取关	800
qun liao	群聊	1200
biao qing bao	表情包	1500
dou tu	斗图	1000
wang you	网友	1200
wang hong	网红	1200
chi gua	吃瓜	1000
guan xuan	官宣	1000
da ka	打卡	1200
chao ji ge ti	超级个体	800
shu zi you min	数字游民	800
ju shen zhi neng	具身智能	1000
zhi neng ti	智能体	1000
da mo xing	大模型	1200
sheng cheng shi ren gong zhi neng	生成式人工智能	1000
ti shi ci	提示词	1200
shen du qiu suo	深度求索	1000
sai bo dui zhang	赛博对账	600
gu zi jing ji	谷子经济	600
